Year,Topic,Winner,SubTopic,Value
90,"Nominations Announcement","Nominations Announcement Date","Tuesday, January 23, 2018"
90,"Nominations Announcement","Nominations Introduction","John Bailey"
90,"Nominations Announcement","Nominations Presenters","Tiffany Haddish, Andy Serkis"
90,"Nominations Announcement","Nominations Category Introduction Video (Production Design)","Gal Gadot"
90,"Nominations Announcement","Nominations Category Introduction Video (Cinematography)","Priyanka Chopra"
90,"Nominations Announcement","Nominations Category Introduction Video (Costume Design)","Salma Hayek"
90,"Nominations Announcement","Nominations Category Introduction Video (Sound)","Zoe Saldana"
90,"Nominations Announcement","Nominations Category Introduction Video (Animation)","Rebel Wilson"
90,"Nominations Announcement","Nominations Category Introduction Video (Original Score)","Michelle Rodriguez"
90,"Nominations Announcement","Nominations Category Introduction Video (Visual Effects)","Michelle Yeoh"
90,"Nominations Announcement","Nominations Category Introduction Video (Film Editing)","Molly Shannon"
90,"Nominations Announcement","Nominations Category Introduction Video (Makeup &amp; Hairstyling)","Rosario Dawson"
90,"Ceremony Details","Awards Ceremony Date/Time","Sunday, March 4, 2018, 5:00pm"
90,"Ceremony Details","Location","Dolby Theatre at Hollywood &amp; Highland Center"
90,"Ceremony Details","Televised On","ABC"
90,"Ceremony Details","Host","Jimmy Kimmel"
90,"Ceremony Details","Length","3 hours, 53 minutes"
90,"Ceremony Details","Nielsen Ratings","18.90 rating"
90,"Ceremony Details","Viewers","26.50 million"
90,"Presenters","Supporting Actor","Viola Davis"
90,"Presenters","Makeup &amp; Hairstyling","Gal Gadot, Armie Hammer"
90,"Presenters","Costume Design","Eva Marie Saint"
90,"Presenters","Documentary Feature","Laura Dern, Greta Gerwig"
90,"Presenters","Original Song Introduction: “Mighty River”","Taraji P. Henson"
90,"Presenters","Sound Editing","Ansel Elgort, Eiza Gonzalez"
90,"Presenters","Sound Mixing","Ansel Elgort, Eiza Gonzalez"
90,"Presenters","Production Design","Kumail Nanjiani, Lupita Nyong’o"
90,"Presenters","Original Song Introduction: “Remember Me”","Eugenio Derbez"
90,"Presenters","Foreign Language Film","Rita Moreno"
