Year,AwardTypeId,IsWinner,MovieId,PersonId
1929,0,True,0,0
1929,0,True,1,0
1929,0,False,2,1
1929,0,False,3,1
1929,1,True,4,2
1929,1,True,5,2
1929,1,True,6,2
1929,1,False,7,3
1929,1,False,8,4
1929,2,True,9,5
1929,2,True,10,5
1929,2,False,6,6
1929,2,False,4,7
1929,3,True,6,8
1929,3,True,6,9
1929,3,False,11,10
1929,3,False,12,10
1929,3,False,8,10
1929,4,True,13,11
1929,4,False,14,12
1929,5,True,4,13
1929,5,False,15,14
1929,5,False,16,15
1929,6,True,17,16
1929,6,False,18,17
1929,6,False,18,18
1929,7,True,17,19
1929,7,False,19,20
1929,7,False,4,21
1929,8,True,6,21
1929,8,False,16,22
1929,8,False,20,19
1929,9,True,4,23
1929,9,False,21,24
1929,9,False,22,25
1929,10,True,23,26
1929,10,False,0,27
1929,11,True,18,28
1929,11,False,24,29
1929,11,False,18,30
1930,0,True,0,31
1930,0,False,1,32
1930,0,False,2,33
1930,0,False,3,34
1930,0,False,4,35
1930,1,True,5,36
1930,1,False,6,37
1930,1,False,7,38
1930,1,False,8,39
1930,1,False,9,40
1930,1,False,10,41
1930,2,True,11,42
1930,2,False,4,43
1930,2,False,12,44
1930,2,False,2,5
1930,2,False,13,5
1930,2,False,14,7
1930,3,True,15,45
1930,3,False,16,10
1930,3,False,0,46
1930,3,False,17,47
1930,3,False,14,47
1930,3,False,9,48
1930,12,True,9,49
1930,12,False,6,50
1930,12,False,10,51
1930,12,False,0,52
1930,12,False,18,49
1930,12,False,19,49
1930,12,False,4,53
1930,7,True,10,22
1930,7,False,2,54
1930,7,False,0,21
1930,7,False,20,22
1930,7,False,4,19
1930,13,True,4,55
1930,13,False,3,56
1930,13,False,0,56
1930,13,False,21,57
1930,13,False,22,57
1930,13,False,23,57
1930,13,False,24,57
1930,13,False,25,55
1930,13,False,16,58
1930,13,False,26,59
1930,13,False,27,59
1931,0,True,0,60
1931,0,False,1,60
1931,0,False,2,61
1931,0,False,3,62
1931,0,False,4,62
1931,0,False,5,63
1931,0,False,6,63
1931,0,False,7,64
1931,1,True,8,65
1931,1,False,9,66
1931,1,False,10,37
